,PSTATABB,PNAME,SECTOR,CNTYNAME,LAT,LON,UTLSRVNM,BANAME,PLFUELCT,NAMEPCAP,PLNGENAN,PLCO2AN,PLGENACL,PLGENAOL,PLGENAGS,PLGENAHY,PLGENABM,PLGENAWI,PLGENASO,PLGENAGT,PLGENAOF,PLGENATN,PLGENATR
0,AL,Albertville,Electric Utility,Marshall,34.363389,-86.223889,Albertville Municipal Utilities Board,Tennessee Valley Authority,OIL,4,0,,0,0,0,0,0,0,0,0,0,0,0
1,AL,AMEA Sylacauga Plant,Electric Utility,Talladega,33.1661,-86.2825,Alabama Municipal Elec Authority,"Southern Company Services, Inc. - Trans",GAS,98.6,104017,60630.3,0,0,104017,0,0,0,0,0,0,104017,0
2,AL,ANAD Solar Array,Electric Utility,Calhoun,33.626728,-85.969481,Alabama Power Co,"Southern Company Services, Inc. - Trans",SOLAR,7.4,11533,,0,0,0,0,0,0,11533,0,0,0,11533
3,AL,Bankhead Dam,Electric Utility,Tuscaloosa,33.458665,-87.356823,Alabama Power Co,"Southern Company Services, Inc. - Trans",HYDRO,53.9,174904,,0,0,0,174904,0,0,0,0,0,0,174904
4,AL,Barry,Electric Utility,Mobile,31.0069,-88.0103,Alabama Power Co,"Southern Company Services, Inc. - Trans",COAL,2569.5,11894419,7588387.1,3314500.9,0,8579918.14,0,0,0,0,0,0,11894419.04,0
5,AL,Bartletts Ferry,Electric Utility,Lee,32.663,-85.0908,Georgia Power Co,"Southern Company Services, Inc. - Trans",HYDRO,173,423677,,0,0,0,423677,0,0,0,0,0,0,423677
6,AL,Bellefonte,Electric Utility,Jackson,34.7092,-85.9278,Tennessee Valley Authority,Tennessee Valley Authority,OIL,14,,,,,,,,,,,,,
7,AL,Browns Ferry,Electric Utility,Limestone,34.7042,-87.1189,Tennessee Valley Authority,Tennessee Valley Authority,NUCLEAR,3854,29325461,,0,0,0,0,0,0,0,0,0,29325461,0
8,AL,Calhoun Generating Facility,Electric Utility,Calhoun,33.5883,-85.9731,Alabama Power Co,"Southern Company Services, Inc. - Trans",GAS,748,494556,320609.837,0,15524.621,479031.38,0,0,0,0,0,0,494556.001,0
9,AL,Central Alabama Gen Station,Electric Utility,Autauga,32.6497,-86.74,Alabama Power Co,"Southern Company Services, Inc. - Trans",GAS,927.1,4552867,2037885.6,0,0,4552867,0,0,0,0,0,0,4552867,0
10,AL,Colbert,Electric Utility,Colbert,34.7439,-87.8486,Tennessee Valley Authority,Tennessee Valley Authority,GAS,476,15325,31752.6,0,0,15325,0,0,0,0,0,0,15325,0
11,AL,Crestwood Dothan,IPP Non-CHP,Houston,31.262356,-85.402737,Crestwood Corp,"Southern Company Services, Inc. - Trans",OIL,8.6,386,444.981,0,386,0,0,0,0,0,0,0,386,0
12,AL,"Cumblerland Land Holdings, LLC",IPP Non-CHP,Limestone,34.94974,-86.868053,"Cumberland Land Holdings, LLC",Tennessee Valley Authority,SOLAR,14.7,32353,,0,0,0,0,0,0,32353,0,0,0,32353
13,AL,Decatur Energy Center,IPP Non-CHP,Morgan,34.6292,-87.0214,Decatur Energy Center LLC,Tennessee Valley Authority,GAS,902.4,2769516,1214726.11,0,0,2769516,0,0,0,0,0,0,2769516,0
14,AL,Decatur-Morgan Co LFG Recovery Project,IPP Non-CHP,Morgan,34.623611,-87.101111,EDL Inc,Tennessee Valley Authority,BIOMASS,1.6,13040,0,0,0,0,0,13040,0,0,0,0,0,13040
15,AL,E B Harris Generating Plant,IPP Non-CHP,Autauga,32.381352,-86.574366,Southern Power Co,"Southern Company Services, Inc. - Trans",GAS,1304,6762115,2811036.475,0,0,6762115,0,0,0,0,0,0,6762115,0
16,AL,E C Gaston,Electric Utility,Shelby,33.244211,-86.458056,Alabama Power Co,"Southern Company Services, Inc. - Trans",COAL,2034,4044923,3823447.102,1756576.6,277,2288069.4,0,0,0,0,0,0,4044923,0
17,AL,Fort Rucker Solar Array,Electric Utility,Dale,31.331148,-85.73019,Alabama Power Co,"Southern Company Services, Inc. - Trans",SOLAR,10.6,13936,,0,0,0,0,0,0,13936,0,0,0,13936
18,AL,Gadsden,Electric Utility,Etowah,34.0128,-85.9708,Alabama Power Co,"Southern Company Services, Inc. - Trans",GAS,138,-3822,1246.25,0,0,-3822,0,0,0,0,0,0,-3822,0
19,AL,Gantt,Electric Utility,Covington,31.4033,-86.479469,PowerSouth Energy Cooperative,"Southern Company Services, Inc. - Trans",HYDRO,3,4556,,0,0,0,4556,0,0,0,0,0,0,4556
20,AL,Goat Rock,Electric Utility,Lee,32.6096,-85.0795,Georgia Power Co,"Southern Company Services, Inc. - Trans",HYDRO,38.6,142422.002,,0,0,0,142422,0,0,0,0,0,0,142422
21,AL,Greene County,Electric Utility,Greene,32.6017,-87.7811,Alabama Power Co,"Southern Company Services, Inc. - Trans",GAS,1288.4,1238220.003,817274.851,0,15458.013,1222761.987,0,0,0,0,0,0,1238220,0
22,AL,Guntersville,Electric Utility,Marshall,34.421272,-86.393931,Tennessee Valley Authority,Tennessee Valley Authority,HYDRO,115.2,560724,,0,0,0,560724,0,0,0,0,0,0,560724
23,AL,H Neely Henry Dam,Electric Utility,Calhoun,33.7845,-86.0524,Alabama Power Co,"Southern Company Services, Inc. - Trans",HYDRO,72.9,238854,,0,0,0,238854,0,0,0,0,0,0,238854
24,AL,Harris Dam,Electric Utility,Randolph,33.258281,-85.616047,Alabama Power Co,"Southern Company Services, Inc. - Trans",HYDRO,135,160972,,0,0,0,160972,0,0,0,0,0,0,160972
25,AL,Hillabee Energy Center,IPP Non-CHP,Tallapoosa,33.000669,-85.903278,CER Generation LLC,"Southern Company Services, Inc. - Trans",GAS,822.8,5116770,2121565.179,0,0,5116770,0,0,0,0,0,0,5116770,0
26,AL,Hog Bayou Energy Center,IPP Non-CHP,Mobile,30.7478,-88.0575,Mobile Energy LLC,"Southern Company Services, Inc. - Trans",GAS,280,1534976,690985.645,0,0,1534976,0,0,0,0,0,0,1534976,0
27,AL,Holt Dam,Electric Utility,Tuscaloosa,33.2553,-87.4495,Alabama Power Co,"Southern Company Services, Inc. - Trans",HYDRO,46.9,175061,,0,0,0,175061,0,0,0,0,0,0,175061
28,AL,James H Miller Jr,Electric Utility,Jefferson,33.6319,-87.0597,Alabama Power Co,"Southern Company Services, Inc. - Trans",COAL,2822,21067413,23814854.175,20872913,0,194500.35,0,0,0,0,0,0,21067413.35,0
29,AL,Jones Bluff,Electric Utility,Autauga,32.324242,-86.784319,USCE-Mobile District,"Southern Company Services, Inc. - Trans",HYDRO,82,275522,,0,0,0,275522,0,0,0,0,0,0,275522
30,AL,Jordan Dam,Electric Utility,Elmore,32.6189,-86.2548,Alabama Power Co,"Southern Company Services, Inc. - Trans",HYDRO,100,441274,,0,0,0,441274,0,0,0,0,0,0,441274
31,AL,Joseph M Farley,Electric Utility,Houston,31.2231,-85.1116,Alabama Power Co,"Southern Company Services, Inc. - Trans",NUCLEAR,1776.4,12988196,,0,0,0,0,0,0,0,0,0,12988196,0
32,AL,LaFayette Solar Farm,IPP Non-CHP,Chambers,32.876313,-85.38821,"AL Solar A, LLC","Southern Company Services, Inc. - Trans",SOLAR,79.2,164828,,0,0,0,0,0,0,164828,0,0,0,164828
33,AL,Lay Dam,Electric Utility,Chilton,32.9633,-86.5187,Alabama Power Co,"Southern Company Services, Inc. - Trans",HYDRO,177,601330.002,,0,0,0,601330,0,0,0,0,0,0,601330
34,AL,Lewis Smith Dam,Electric Utility,Walker,33.9406,-87.1077,Alabama Power Co,"Southern Company Services, Inc. - Trans",HYDRO,181,325963,,0,0,0,325963,0,0,0,0,0,0,325963
35,AL,Logan Martin Dam,Electric Utility,Talladega,33.425878,-86.337547,Alabama Power Co,"Southern Company Services, Inc. - Trans",HYDRO,128.1,412917.999,,0,0,0,412918,0,0,0,0,0,0,412918
36,AL,Martin Dam,Electric Utility,Elmore,32.680394,-85.911442,Alabama Power Co,"Southern Company Services, Inc. - Trans",HYDRO,210.6,358612,,0,0,0,358612,0,0,0,0,0,0,358612
37,AL,McIntosh (7063),Electric Utility,Washington,31.2546,-88.0299,PowerSouth Energy Cooperative,"Southern Company Services, Inc. - Trans",GAS,676,792908,547800.511,0,306.639,792601.359,0,0,0,0,0,0,792907.998,0
38,AL,McWilliams,Electric Utility,Covington,31.400255,-86.476449,PowerSouth Energy Cooperative,"Southern Company Services, Inc. - Trans",GAS,654,3895666,1679034.028,0,84.161,3895581.9,0,0,0,0,0,0,3895666.061,0
39,AL,Millers Ferry,Electric Utility,Wilcox,32.100881,-87.399767,USCE-Mobile District,"Southern Company Services, Inc. - Trans",HYDRO,101.1,315108,,0,0,0,315108,0,0,0,0,0,0,315108
40,AL,Mitchell Dam,Electric Utility,Coosa,32.806025,-86.444892,Alabama Power Co,"Southern Company Services, Inc. - Trans",HYDRO,170,544470.999,,0,0,0,544471,0,0,0,0,0,0,544471
41,AL,Muscle Shoals,IPP Non-CHP,Colbert,34.76973,-87.90454,"Muscle Shoals Solar, LLC",Tennessee Valley Authority,SOLAR,227,490011,,0,0,0,0,0,0,490011,0,0,0,490011
42,AL,Plant H. Allen Franklin,IPP Non-CHP,Lee,32.6078,-85.0975,Southern Power Co,"Southern Company Services, Inc. - Trans",GAS,1995.7,11641023,4874870.15,0,0,11641023,0,0,0,0,0,0,11641023,0
43,AL,Point A,Electric Utility,Covington,31.361146,-86.518307,PowerSouth Energy Cooperative,"Southern Company Services, Inc. - Trans",HYDRO,5.2,16683.999,,0,0,0,16684,0,0,0,0,0,0,16684
44,AL,Redstone Arsenal Hybrid,IPP Non-CHP,Madison,34.610987,-86.611551,MN8 Energy LLC,Tennessee Valley Authority,SOLAR,11,18528,,0,0,0,0,0,0,18578,0,0,-50,18578
45,AL,"River Bend Solar, LLC",IPP Non-CHP,Lauderdale,34.831511,-87.842204,"River Bend Solar, LLC",Tennessee Valley Authority,SOLAR,75,163332,,0,0,0,0,0,0,163332,0,0,0,163332
46,AL,SABIC Innovative Plastics - Burkville,Electric Utility,Lowndes,32.310226,-86.52542,Alabama Power Co,"Southern Company Services, Inc. - Trans",GAS,97,495565,131423.625,0,0,495565,0,0,0,0,0,0,495565,0
47,AL,Sand Valley Power Station,IPP Non-CHP,Dekalb,34.343875,-85.866103,EDL Inc,Tennessee Valley Authority,BIOMASS,4.8,29838,0,0,0,0,0,29838,0,0,0,0,0,29838
48,AL,Tenaska Lindsay Hill Generating Station,IPP Non-CHP,Autauga,32.6514,-86.7386,Tenaska Alabama Partners LP,"Southern Company Services, Inc. - Trans",GAS,939.4,3013188,1329535.511,0,0,3013188,0,0,0,0,0,0,3013188,0
49,AL,Theodore Cogeneration,Electric Utility,Mobile,30.525445,-88.128477,Alabama Power Co,"Southern Company Services, Inc. - Trans",GAS,317.4,1528810,438585.794,0,0,1528810,0,0,0,0,0,0,1528810,0
50,AL,Thurlow Dam,Electric Utility,Elmore,32.535436,-85.887614,Alabama Power Co,"Southern Company Services, Inc. - Trans",HYDRO,91,235345,,0,0,0,235345,0,0,0,0,0,0,235345
51,AL,Walter Bouldin Dam,Electric Utility,Elmore,32.583889,-86.283056,Alabama Power Co,"Southern Company Services, Inc. - Trans",HYDRO,225,509729.001,,0,0,0,509729,0,0,0,0,0,0,509729
52,AL,Walton Discover Power Facility,IPP Non-CHP,LEE,32.54098,-85.038879,Walton Discover LLC,"Southern Company Services, Inc. - Trans",GAS,103,132,108.745,0,0,132,0,0,0,0,0,0,132,0
53,AL,Washington County Cogen (Olin),Electric Utility,Washington,31.26423,-88.00267,Alabama Power Co,"Southern Company Services, Inc. - Trans",GAS,122.5,846721,259429.822,0,0,846721,0,0,0,0,0,0,846721,0
54,AL,Weiss Dam,Electric Utility,Cherokee,34.172142,-85.753806,Alabama Power Co,"Southern Company Services, Inc. - Trans",HYDRO,87.6,235863.999,,0,0,0,235864,0,0,0,0,0,0,235864
55,AL,Wheeler Dam,Electric Utility,Lawrence,34.8069,-87.3819,Tennessee Valley Authority,Tennessee Valley Authority,HYDRO,404,1373697.997,,0,0,0,1373698,0,0,0,0,0,0,1373698
56,AL,Wilson Dam,Electric Utility,Lauderdale,34.79782,-87.62537,Tennessee Valley Authority,Tennessee Valley Authority,HYDRO,666.7,2518491.004,,0,0,0,2518491,0,0,0,0,0,0,2518491
57,AL,Yates Dam,Electric Utility,Elmore,32.5743,-85.8901,Alabama Power Co,"Southern Company Services, Inc. - Trans",HYDRO,50.5,142032,,0,0,0,142032,0,0,0,0,0,0,142032
58,AR,Arkansas Nuclear One,Electric Utility,Pope,35.311,-93.2351,Entergy Arkansas LLC,"Midcontinent Independent Transmission System Operator, Inc..",NUCLEAR,1845,14323697,,0,0,0,0,0,0,0,0,0,14323697,0
59,AR,Ashley-Chicot Solar,Electric Utility,Ashley,33.250828,-91.922427,"Today's Power, Inc.","Midcontinent Independent Transmission System Operator, Inc..",SOLAR,1,2319,,0,0,0,0,0,0,2319,0,0,0,2319
60,AR,Beaver Dam,Electric Utility,Carroll,36.421507,-93.847373,USCE-Little Rock District,Southwestern Power Administration,HYDRO,112,154463,,0,0,0,154463,0,0,0,0,0,0,154463
61,AR,Berryville School District Solar,Electric Utility,Carroll,36.37342,-93.58618,"Today's Power, Inc.","Midcontinent Independent Transmission System Operator, Inc..",SOLAR,1,1586,,0,0,0,0,0,0,1586,0,0,0,1586
62,AR,Blakely Mountain,Electric Utility,Garland,34.570984,-93.194425,USCE -Vickburg District,"Midcontinent Independent Transmission System Operator, Inc..",HYDRO,75,169885,,0,0,0,169885,0,0,0,0,0,0,169885
63,AR,Branch Solar Farm,Electric Utility,Franklin,35.306183,-93.925758,Oklahoma Gas & Electric Co,Southwest Power Pool,SOLAR,5,9889,,0,0,0,0,0,0,9889,0,0,0,9889
64,AR,Bull Shoals,Electric Utility,Marion,36.3635,-92.5763,USCE-Little Rock District,Southwestern Power Administration,HYDRO,340,1053523,,0,0,0,1053523,0,0,0,0,0,0,1053523
65,AR,C&L,Electric Utility,Lincoln,34.075486,-91.828323,"Today's Power, Inc.","Midcontinent Independent Transmission System Operator, Inc..",SOLAR,1,2339,,0,0,0,0,0,0,2339,0,0,0,2339
66,AR,Carl Bailey,Electric Utility,Woodruff,35.260102,-91.363426,Arkansas Electric Coop Corp,"Midcontinent Independent Transmission System Operator, Inc..",GAS,120,,,,,,,,,,,,,
67,AR,Carpenter,Electric Utility,Garland,34.4425,-93.0262,Entergy Arkansas LLC,"Midcontinent Independent Transmission System Operator, Inc..",HYDRO,56,112694,,0,0,0,112694,0,0,0,0,0,0,112694
68,AR,Chicot Solar,IPP Non-CHP,Chicot,33.479,-91.349,"Chicot Solar, LLC","Midcontinent Independent Transmission System Operator, Inc..",SOLAR,100,242321,,0,0,0,0,0,0,242321,0,0,0,242321
69,AR,City of Paris Solar,Electric Utility,Logan,35.301,-93.734,"Today's Power, Inc.",Southwest Power Pool,SOLAR,1.5,2808,,0,0,0,0,0,0,2808,0,0,0,2808
70,AR,City Water & Light - City of Jonesboro,Electric Utility,Craighead,35.848561,-90.725377,City Water and Light Plant,"Midcontinent Independent Transmission System Operator, Inc..",GAS,224.3,99002,49656.3,0,1428.3,97573.7,0,0,0,0,0,0,99002,0
71,AR,Clay County Electrical Cooperative,Electric Utility,Clay,36.419308,-90.64251,"Today's Power, Inc.","Midcontinent Independent Transmission System Operator, Inc..",SOLAR,1,2227,,0,0,0,0,0,0,2227,0,0,0,2227
72,AR,Craighead Electric Solar One,Electric Utility,Craighead,35.922262,-90.567226,"Today's Power, Inc.","Midcontinent Independent Transmission System Operator, Inc..",SOLAR,1,2306,,0,0,0,0,0,0,2306,0,0,0,2306
73,AR,Dam 2,Electric Utility,Desha,33.986501,-91.315788,Arkansas Electric Coop Corp,"Midcontinent Independent Transmission System Operator, Inc..",HYDRO,102.6,366684,,0,0,0,366684,0,0,0,0,0,0,366684
74,AR,Dardanelle,Electric Utility,Pope,35.2503,-93.1686,USCE-Little Rock District,Southwestern Power Administration,HYDRO,160.8,395956,,0,0,0,395956,0,0,0,0,0,0,395956
75,AR,Degray,Electric Utility,Clark,34.211913,-93.110963,USCE -Vickburg District,"Midcontinent Independent Transmission System Operator, Inc..",HYDRO,70,134872,,0,0,0,134872,0,0,0,0,0,0,134872
76,AR,Dell Power Plant,Electric Utility,Mississippi,35.8619,-90.0253,"Associated Electric Coop, Inc","Associated Electric Cooperative, Inc.",GAS,679.1,2905481,1337029.161,0,5015.271,2900465.7,0,0,0,0,0,0,2905480.971,0
77,AR,Elkins Generating Center,Electric Utility,Washington,35.9714,-94.0014,Arkansas Electric Coop Corp,Southwest Power Pool,GAS,66,29544,19988.907,0,0,29544,0,0,0,0,0,0,29544,0
78,AR,Ellis Hydro,Electric Utility,Crawford,35.351361,-94.294349,Arkansas Electric Coop Corp,Southwest Power Pool,HYDRO,32.4,104367,,0,0,0,104367,0,0,0,0,0,0,104367
79,AR,Farmers Electric Cooperative,Electric Utility,Jackson,35.629554,-91.230511,"Today's Power, Inc.","Midcontinent Independent Transmission System Operator, Inc..",SOLAR,1,2310,,0,0,0,0,0,0,2309.67,0,0,0,2309.67
80,AR,FECC Solar Benton,Electric Utility,Saline,34.638429,-92.578347,"Today's Power, Inc.","Midcontinent Independent Transmission System Operator, Inc..",SOLAR,1,1451,,0,0,0,0,0,0,1451,0,0,0,1451
81,AR,Flint Creek Power Plant,Electric Utility,Benton,36.2561,-94.5241,Southwestern Electric Power Co,Southwest Power Pool,COAL,558,2578628,2971364.009,2573014.3,5613.7,0,0,0,0,0,0,0,2578628,0
82,AR,Forrest City- Eldridge Road,IPP Non-CHP,St Francis,35.03789,-90.80707,Greenbacker Renewable Energy Corporation,"Midcontinent Independent Transmission System Operator, Inc..",SOLAR,1,2160,,0,0,0,0,0,0,2160,0,0,0,2160
83,AR,Forrest City- Prison Site,IPP Non-CHP,St Francis,34.97953,-90.80602,Greenbacker Renewable Energy Corporation,"Midcontinent Independent Transmission System Operator, Inc..",SOLAR,1,2126,,0,0,0,0,0,0,2126,0,0,0,2126
84,AR,Fulton,Electric Utility,Hempstead,33.6094,-93.7924,Arkansas Electric Coop Corp,Southwest Power Pool,GAS,154.8,69778,44924.498,0,0,69778.001,0,0,0,0,0,0,69778.001,0
85,AR,Greers Ferry Lake,Electric Utility,Cleburne,35.5207,-91.9953,USCE-Little Rock District,Southwestern Power Administration,HYDRO,96,202054,,0,0,0,202054,0,0,0,0,0,0,202054
86,AR,Harry D. Mattison Power Plant,Electric Utility,Washington,36.1855,-94.2841,Southwestern Electric Power Co,Southwest Power Pool,GAS,349,207013,152165.7,0,0,207013,0,0,0,0,0,0,207013,0
87,AR,Hot Spring Energy Facility,Electric Utility,Hot Spring,34.29759,-92.868344,Entergy Arkansas LLC,"Midcontinent Independent Transmission System Operator, Inc..",GAS,714.8,3362959,1471261.275,0,0,3362959,0,0,0,0,0,0,3362959,0
88,AR,Hot Springs 2020,IPP Non-CHP,Garland,34.421,-93.19485,Greenbacker Renewable Energy Corporation,Southwest Power Pool,SOLAR,1,1723,,0,0,0,0,0,0,1723,0,0,0,1723
89,AR,Independence,Electric Utility,Independence,35.678442,-91.408761,Entergy Arkansas LLC,"Midcontinent Independent Transmission System Operator, Inc..",COAL,1800,4497183,5655309.715,4480885.3,16297.724,0,0,0,0,0,0,0,4497183.024,0
90,AR,John W. Turk Jr. Power Plant,Electric Utility,Hempstead,33.649722,-93.811944,Southwestern Electric Power Co,Southwest Power Pool,COAL,609,3681339,3654254.033,3669811.5,0,11527.466,0,0,0,0,0,0,3681338.966,0
91,AR,Lake Catherine,Electric Utility,Hot Spring,34.4341,-92.9049,Entergy Arkansas LLC,"Midcontinent Independent Transmission System Operator, Inc..",GAS,552.5,210136,145032.775,0,0,210136,0,0,0,0,0,0,210136,0
92,AR,Lee Creek Water Treatment Facility,IPP Non-CHP,Crawford,35.484488,-94.392858,City of Fort Smith,"Midcontinent Independent Transmission System Operator, Inc..",HYDRO,1.3,0,,0,0,0,0,0,0,0,0,0,0,0
93,AR,Magnet Cove Generating Station,Electric Utility,Hot Spring,34.4297,-92.8317,Arkansas Electric Coop Corp,"Midcontinent Independent Transmission System Operator, Inc..",GAS,746,3311472,1366309.253,0,0,3311472,0,0,0,0,0,0,3311472,0
94,AR,McClellan,Electric Utility,Ouachita,33.5648,-92.7917,Arkansas Electric Coop Corp,"Midcontinent Independent Transmission System Operator, Inc..",GAS,136,45993,31192.069,0,2563.998,43429.002,0,0,0,0,0,0,45993,0
95,AR,Municipal Light,Electric Utility,Clay,36.3858,-90.1867,City of Piggott - (AR),Southwestern Power Administration,OIL,7.2,0,,0,0,0,0,0,0,0,0,0,0,0
96,AR,Murray,Electric Utility,Pulaski,34.7956,-92.3569,City of North Little Rock - (AR),"Midcontinent Independent Transmission System Operator, Inc..",HYDRO,45.4,72658,,0,0,0,72658,0,0,0,0,0,0,72658
97,AR,Narrows (AR),Electric Utility,Pike,34.148427,-93.715168,USCE -Vickburg District,Southwest Power Pool,HYDRO,25.5,30798.999,,0,0,0,30799,0,0,0,0,0,0,30799
98,AR,Norfork,Electric Utility,Baxter,36.2491,-92.2401,USCE-Little Rock District,Southwestern Power Administration,HYDRO,80.4,258604,,0,0,0,258604,0,0,0,0,0,0,258604
99,AR,Osceola (AR),Electric Utility,Mississippi,35.705381,-89.9689,City of Osceola - (AR),"Midcontinent Independent Transmission System Operator, Inc..",OIL,1.6,0,,0,0,0,0,0,0,0,0,0,0,0
100,AR,Oswald Generating Station,Electric Utility,Pulaski,34.5923,-92.2166,Arkansas Electric Coop Corp,"Midcontinent Independent Transmission System Operator, Inc..",GAS,599.5,998504,445471.235,0,0,998504,0,0,0,0,0,0,998504,0
101,AR,Ozark,Electric Utility,Franklin,35.4693,-93.8175,USCE-Little Rock District,Southwestern Power Administration,HYDRO,100,286484,,0,0,0,286484,0,0,0,0,0,0,286484
102,AR,Ozarks Natural Energy Community Solar,Electric Utility,Washington,36.164296,-94.082269,Ozarks Electric Coop Corp - (AR),Southwest Power Pool,SOLAR,1,1490,,0,0,0,0,0,0,1490,0,0,0,1490
103,AR,Paragould Reciprocating,Electric Utility,Greene,36.0242,-90.5094,Paragould Light & Water Comm,Southwestern Power Administration,GAS,19.2,498.999,291.756,0,0,499,0,0,0,0,0,0,499,0
104,AR,Paragould Turbine,Electric Utility,Greene,36.024272,-90.509229,Paragould Light & Water Comm,Southwestern Power Administration,GAS,13.9,148,121.448,0,0,148,0,0,0,0,0,0,148,0
105,AR,Plum Point Energy Station,IPP Non-CHP,Mississippi,35.6644,-89.9489,NRG Energy Services - Plum Point,"Midcontinent Independent Transmission System Operator, Inc..",COAL,720,4353625,4882487.62,4335463.5,18161.545,0,0,0,0,0,0,0,4353625.045,0
106,AR,Remmel,Electric Utility,Hot Spring,34.4272,-92.8941,Entergy Arkansas LLC,"Midcontinent Independent Transmission System Operator, Inc..",HYDRO,9,31895.001,,0,0,0,31895,0,0,0,0,0,0,31895
107,AR,Scenic Hill Solar III,IPP Non-CHP,Johnson,35.46715,-93.51517,Scenic Hill Solar III LLC,Southwestern Power Administration,SOLAR,5,10205,,0,0,0,0,0,0,10205,0,0,0,10205
108,AR,"Scenic Hill Solar IV, LLC",IPP Non-CHP,Johnson,35.47056,-93.4464,Greenbacker Renewable Energy Corporation,Southwest Power Pool,SOLAR,2.2,3829,,0,0,0,0,0,0,3829,0,0,0,3829
109,AR,Searcy Solar Hybrid,Electric Utility,White,35.233,-91.69,"Searcy Solar, LLC","Midcontinent Independent Transmission System Operator, Inc..",SOLAR,110,225228,,0,0,0,0,0,0,225228,0,0,0,225228
110,AR,SR Camden,IPP Non-CHP,Calhoun,33.631538,-92.703611,"SR Camden, LLC",Southwestern Power Administration,SOLAR,12,25322,,0,0,0,0,0,0,25322,0,0,0,25322
111,AR,Stuttgart Solar,IPP Non-CHP,Arkansas,34.439722,-91.44,"Stuttgart Solar, LLC","Midcontinent Independent Transmission System Operator, Inc..",SOLAR,81,171897,,0,0,0,0,0,0,171897,0,0,0,171897
112,AR,Thomas Fitzhugh,Electric Utility,Franklin,35.462382,-93.804926,Arkansas Electric Coop Corp,Southwest Power Pool,GAS,185,477582,251638.227,0,0,477582,0,0,0,0,0,0,477582,0
113,AR,Two Pine Landfill Gas Recovery,IPP Non-CHP,Pulaski,34.8332,-92.157103,WM Renewable Energy LLC,"Midcontinent Independent Transmission System Operator, Inc..",BIOMASS,4.8,24153,0.002,0,0,0,0,24153,0,0,0,0,0,24153
114,AR,Union Power Station,Electric Utility,Union,33.296146,-92.589364,Entergy Arkansas LLC,"Midcontinent Independent Transmission System Operator, Inc..",GAS,2428,12788417,5526410.679,0,0,12788417,0,0,0,0,0,0,12788417,0
115,AR,Waste Management Eco Vista LFGTE,IPP Non-CHP,Washington,36.140849,-94.259713,WM Renewable Energy LLC,"Midcontinent Independent Transmission System Operator, Inc..",BIOMASS,4,21505,0,0,0,0,0,21505,0,0,0,0,0,21505
116,AR,Whillock,Electric Utility,Conway,35.127591,-92.790273,Arkansas Electric Coop Corp,"Midcontinent Independent Transmission System Operator, Inc..",HYDRO,32.4,103688.001,,0,0,0,103688,0,0,0,0,0,0,103688
117,AR,White Bluff,Electric Utility,Jefferson,34.4228,-92.1406,Entergy Arkansas LLC,"Midcontinent Independent Transmission System Operator, Inc..",COAL,1800,5278440,6242070.236,5263385.2,15054.788,0,0,0,0,0,0,0,5278439.988,0
118,AR,White River Lock and Dam 1,IPP Non-CHP,Independence,35.757401,-91.636887,White River Hydroelectric,Southwestern Power Administration,HYDRO,4.3,14346,,0,0,0,14346,0,0,0,0,0,0,14346
119,AR,White River Lock and Dam 2,IPP Non-CHP,Independence,35.744036,-91.765418,White River Hydroelectric,Southwestern Power Administration,HYDRO,3.5,14346,,0,0,0,14346,0,0,0,0,0,0,14346
120,AR,White River Lock and Dam 3,IPP Non-CHP,Stone,35.84361,-91.850521,White River Hydroelectric,Southwestern Power Administration,HYDRO,4.3,28703,,0,0,0,28703,0,0,0,0,0,0,28703
121,AZ,Actus Lend Lease DMAFB,IPP Non-CHP,Pima,32.1825,-110.863333,Tesla Inc.,Tucson Electric Power Company,SOLAR,3,3883,,0,0,0,0,0,0,3883,0,0,0,3883
122,AZ,AES ES GILBERT,IPP Non-CHP,Maricopa,33.446804,-111.956261,"AES ES GILBERT, LLC",Salt River Project,OTHF,10,-693,,0,0,0,0,0,0,0,0,0,-693,0
123,AZ,Agua Caliente Solar Project,IPP Non-CHP,Yuma,32.9774,-113.4945,Agua Caliente Solar,California Independent System Operator,SOLAR,347.7,726680,,0,0,0,0,0,0,726680,0,0,0,726680
124,AZ,Agua Fria Generating Station,Electric Utility,Maricopa,33.5561,-112.2153,Salt River Project,Salt River Project,GAS,737.5,133958,88628.676,0,0,137612,0,0,0,0,0,0,133958,0
125,AZ,Amphitheater High School Solar,IPP Non-CHP,Pima,32.269,-110.975,"Luminace Solar Arizona 2, LLC",Tucson Electric Power Company,SOLAR,1,2102,,0,0,0,0,0,0,2102,0,0,0,2102
126,AZ,Apache Solar 1,Electric Utility,Cochise,32.068141,-109.890379,Arizona Electric Pwr Coop Inc,Western Area Power Administration - Desert Southwest Region,SOLAR,20,55146,,0,0,0,0,0,0,55146,0,0,0,55146
127,AZ,Apache Station,Electric Utility,Cochise,32.0603,-109.8931,Arizona Electric Pwr Coop Inc,Western Area Power Administration - Desert Southwest Region,COAL,660.7,1960278,1861522.233,1061507.4,0,898770.58,0,0,0,0,0,0,1960277.98,0
128,AZ,APS Saguaro Power Plant,Electric Utility,Pinal,32.5517,-111.3,Arizona Public Service Co,Arizona Public Service Company,GAS,184.5,83312,48566.539,0,0,83312,0,0,0,0,0,0,83312,0
