,PSTATABB,PNAME,SECTOR,CNTYNAME,LAT,LON,UTLSRVNM,BANAME,PLFUELCT,NAMEPCAP,PLNGENAN,PLCO2AN,PLGENACL,PLGENAOL,PLGENAGS,PLGENAHY,PLGENABM,PLGENAWI,PLGENASO,PLGENAGT,PLGENAOF,PLGENATN,PLGENATR
1178,CA,Potter Valley,Electric Utility,Mendocino,39.361786,-123.127934,Pacific Gas & Electric Co.,California Independent System Operator,HYDRO,9.4,0,,0,0,0,0,0,0,0,0,0,0,0
1179,CA,Powhatan Solar Power Generation Station 1 LLC,IPP Non-CHP,San Bernardino,34.496944,-117.145,AES Distributed Energy,California Independent System Operator,SOLAR,1.5,4219,,0,0,0,0,0,0,4219,0,0,0,4219
1180,CA,PPA Grand,IPP Non-CHP,Orange,33.691,-117.833,esVolta LP,California Independent System Operator,OTHF,2,-218,,0,0,0,0,0,0,0,0,0,-218,0
1181,CA,Prairie,IPP Non-CHP,Los Angeles,34.239244,-118.583575,"Prairie Street Operating, LLC",Los Angeles Department of Water and Power,SOLAR,1.8,3263,,0,0,0,0,0,0,3263,0,0,0,3263
1182,CA,Prima Plant,IPP Non-CHP,Orange,33.494925,-117.614587,MM Prima Deshecha Energy LLC,California Independent System Operator,BIOMASS,6,33612,0,0,0,0,0,33612,0,0,0,0,0,33612
1183,CA,Procter and Gamble Power Plant,Electric Utility,Sacramento,38.530943,-121.400128,Sacramento Municipal Util Dist,Balancing Authority of Northern California,GAS,193.4,706401,279632.06,0,0,706401,0,0,0,0,0,0,706401,0
1184,CA,Prologis L.P,IPP Non-CHP,San Joaquin,37.725044,-121.529783,EnterSolar,California Independent System Operator,SOLAR,3,0,,0,0,0,0,0,0,0,0,0,0,0
1185,CA,PSREC/SIAD Solar,Electric Utility,Lassen,40.15006,-120.123352,Plumas Sierra Rural Electric Coop,California Independent System Operator,SOLAR,2.5,6054,,0,0,0,0,0,0,6054,0,0,0,6054
1186,CA,Pumpjack Solar I,IPP Non-CHP,Kern,35.305556,-119.6225,Duke Energy Renewables Services,California Independent System Operator,SOLAR,20,49620,,0,0,0,0,0,0,49620,0,0,0,49620
1187,CA,Putah Creek Solar Farm,IPP Non-CHP,Yolo,38.521111,-121.993889,Solvida Energy Group/Blue Oak Energy,California Independent System Operator,SOLAR,2,5225,,0,0,0,0,0,0,5225,0,0,0,5225
1188,CA,Putah Creek Solar Farm North,IPP Non-CHP,Yolo,38.524531,-121.99531,Putah Creek Solar Farms LLC,California Independent System Operator,SOLAR,3,5224,,0,0,0,0,0,0,5224,0,0,0,5224
1189,CA,"PVN Milliken, LLC",IPP Non-CHP,San Bernardino,34.038433,-117.565802,"PVN Milliken, LLC",California Independent System Operator,SOLAR,3,5307,,0,0,0,0,0,0,5307,0,0,0,5307
1190,CA,Quinto Solar PV Project,IPP Non-CHP,Merced,37.130278,-121.052222,"Arevon Energy, Inc.",California Independent System Operator,SOLAR,108,281916,,0,0,0,0,0,0,281916,0,0,0,281916
1191,CA,R C Kirkwood,Electric Utility,Tuolumne,37.877667,-119.953233,City & County of San Francisco,California Independent System Operator,HYDRO,115.5,394520,,0,0,0,394520,0,0,0,0,0,0,394520
1192,CA,R E Badger Filtration Plant,IPP Non-CHP,San Diego,33.051,-117.175,Santa Fe Irrigation District,California Independent System Operator,HYDRO,1.4,0,,0,0,0,0,0,0,0,0,0,0,0
1193,CA,"Rabbitbrush Solar, LLC",IPP Non-CHP,Kern,34.83,-118.32,"Leeward Asset Management, LLC",California Independent System Operator,SOLAR,120,49963,,0,0,0,0,0,0,50232,0,0,-269,50232
1194,CA,Radiance Solar 4,IPP Non-CHP,Los Angeles,34.665556,-118.288056,Greenbacker Renewable Energy Corporation,California Independent System Operator,SOLAR,1.5,3323,,0,0,0,0,0,0,3323,0,0,0,3323
1195,CA,Radiance Solar 5,IPP Non-CHP,Los Angeles,34.665556,-118.286944,Greenbacker Renewable Energy Corporation,California Independent System Operator,SOLAR,1.5,3300,,0,0,0,0,0,0,3300,0,0,0,3300
1196,CA,Ralston,Electric Utility,Placer,39.000999,-120.725053,Placer County Water Agency,California Independent System Operator,HYDRO,79.2,7436,,0,0,0,7436,0,0,0,0,0,0,7436
1197,CA,Ramona 1,IPP Non-CHP,San Diego,33.012222,-116.875,MN8 Energy LLC,California Independent System Operator,SOLAR,2,4501,,0,0,0,0,0,0,4501,0,0,0,4501
1198,CA,Ramona 2,IPP Non-CHP,San Diego,33.012222,-116.875,MN8 Energy LLC,California Independent System Operator,SOLAR,5,11297,,0,0,0,0,0,0,11297,0,0,0,11297
1199,CA,Ramona Solar Energy,Electric Utility,San Diego,33.018486,-116.860713,San Diego Gas & Electric Co,California Independent System Operator,SOLAR,4.3,20.79,,0,0,0,0,0,0,20.79,0,0,0,20.79
